Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,13.227333,13.382667,13.159333,13.172000,13.172000,48294000
2016-12-16,13.205333,13.506000,13.173333,13.499333,13.499333,56953500
2016-12-19,13.499333,13.630000,13.322667,13.515333,13.515333,52321500
2016-12-20,13.536667,13.933333,13.500000,13.919333,13.919333,70336500
2016-12-21,13.896667,14.148667,13.827333,13.846667,13.846667,78114000
2016-12-22,13.881333,13.999333,13.766667,13.896667,13.896667,46666500
2016-12-23,13.866667,14.230000,13.847333,14.222667,14.222667,70057500
2016-12-27,14.325333,14.816667,14.294667,14.635333,14.635333,88735500
2016-12-28,14.768667,14.920000,14.480000,14.649333,14.649333,56737500
2016-12-29,14.570667,14.613333,14.274667,14.312000,14.312000,60675000
2016-12-30,14.420000,14.500000,14.112000,14.246000,14.246000,69639000
